Word	AffDict	AffMeaning	AffNorms	ALPIN	ANGST	BAWL-R	EmotionDict	LANG	Morph	PolarityClues	Polart	SentiMerge	SentiWS	SePL	WordNorms
Aal	NA	NA	0.0258	NA	NA	-0.152542372881356	NA	NA	NA	NA	NA	0.0231092531597854	NA	NA	NA
aalen	NA	NA	0.1208	NA	NA	NA	NA	NA	NA	0.176239912925334	NA	0.357580311944368	NA	NA	NA
aalglatt	NA	NA	-0.332	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	-0.228186663349776	NA	-0.252690159850024	NA	NA	NA
Aas	NA	NA	-0.4934	NA	-0.724137931034483	-0.694915254237288	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aasgeier	NA	NA	-0.5414	NA	NA	NA	-0.228186663349776	NA	-0.228186663349776	NA	NA	0.00266958003982243	NA	NA	NA
ab	NA	NA	0.1924	0.352212070687921	NA	NA	NA	NA	NA	NA	NA	0.0323998440885234	NA	NA	NA
abarbeiten	NA	NA	-0.1016	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.51776802167662	NA	NA	NA
Abart	NA	NA	-0.2938	NA	NA	-0.525423728813559	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.345243788028802	NA	NA	NA
abartig	NA	NA	-0.5354	NA	NA	NA	NA	NA	-0.228186663349776	-0.228186663349776	-1	-0.417552798666523	NA	-0.54	NA
Abbau	NA	NA	-0.261	NA	NA	-0.322033898305085	NA	NA	-0.228186663349776	-0.228186663349776	-0.7	-0.29253032722221	-0.0580000000000001	NA	-0.457817772778403
abbauen	NA	NA	-0.2108	NA	NA	-0.254237288135593	NA	NA	0.228186663349776	-0.228186663349776	-0.7	-0.289217733897744	-0.0578	NA	NA
abberufen	NA	NA	-0.3286	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.7	-0.224253273622899	NA	NA	NA
Abbild	NA	NA	0.0266	NA	NA	-0.0508474576271187	NA	NA	NA	0	NA	0.0219135296087951	NA	NA	0.100112485939258
Abbildung	NA	NA	0.0304	NA	NA	NA	NA	NA	NA	NA	0	0.0100822670689535	NA	NA	NA
abbinden	NA	NA	-0.3368	NA	NA	NA	NA	NA	NA	-0.228186663349776	NA	-0.286005551393748	NA	NA	NA
Abbitte	NA	NA	-0.1844	NA	NA	NA	NA	NA	0.176239912925334	NA	0.7	0.275394860744885	NA	NA	NA
Abblendlicht	NA	NA	-0.1054	NA	NA	NA	NA	NA	0	NA	NA	0.0303829111395775	NA	NA	NA
